Indicator,Most_Likely_Class,Max_Probability,Prob_Class_0,Prob_Class_1,Prob_Class_2,Prob_Class_3,Prob_Class_4,Prob_Class_5,Prob_Class_6,Prob_Class_7,Prob_Class_8,Prob_Class_9,Prob_Class_10,Prob_Class_11,Prob_Class_12,Prob_Class_13,Prob_Class_14,Prob_Class_15
170,1,0.113368236,0.076165184,0.113368236,0.054778498,0.05256193,0.04788071,0.045696735,0.04759787,0.07917963,0.023975885,0.036625158,0.096677914,0.09230274,0.04348636,0.06545326,0.07204022,0.052209634
171,3,0.09778342,0.060584396,0.07851786,0.07154514,0.09778342,0.08266845,0.047281686,0.034654334,0.030332297,0.007987992,0.03957885,0.09289647,0.09081462,0.09083317,0.060170274,0.074033745,0.040317368
172,7,0.08442014,0.039815575,0.072425514,0.058009185,0.057378888,0.06481398,0.07928427,0.074956626,0.08442014,0.06782956,0.07247366,0.034600567,0.07312322,0.052579094,0.047755998,0.06862847,0.051905233
173,2,0.08979513,0.064707376,0.0628805,0.08979513,0.08293828,0.07689142,0.049519047,0.044625353,0.04686495,0.046221934,0.051134545,0.06763206,0.066457145,0.064982325,0.055082142,0.059845947,0.070421785
174,1,0.1249986,0.093921356,0.1249986,0.062307175,0.056394227,0.08203484,0.031351324,0.026118731,0.052976,0.012108325,0.029681893,0.10442057,0.10680122,0.07004358,0.027353663,0.044481806,0.075006686
175,14,0.15582897,0.056390125,0.120775804,0.030125763,0.10326326,0.1075575,0.012148056,-0.029727891,0.040572904,-0.056052834,-0.10995201,0.096691,0.1203158,0.08948367,0.13463792,0.15582897,0.12794197
176,4,0.09378279,0.07139273,0.051701963,0.06680156,0.0885274,0.09378279,0.032038942,0.026810762,0.053813793,0.058638334,0.061518695,0.06137698,0.057357337,0.08319982,0.06802325,0.07813045,0.04688523
177,2,0.1264616,0.0860051,0.03203628,0.1264616,0.11489909,0.050581276,0.025572743,0.025198238,0.028262759,0.080780745,0.071589634,0.04365823,0.031767357,0.11416326,0.047469042,0.06290117,0.058653537
178,2,0.10609831,0.069876544,0.041187115,0.10609831,0.07810524,0.070673764,0.03959413,0.050951496,0.051126316,0.087220795,0.056636877,0.045562293,0.026720276,0.100650616,0.049737033,0.05900037,0.06685881
179,15,0.10150865,0.091969825,0.07247646,0.069218166,0.05830267,0.057406664,0.021602124,0.044642672,0.09197119,0.058063824,0.026688414,0.06446413,0.040462833,0.0724846,0.062380556,0.066357225,0.10150865
180,15,0.083738856,0.03930984,0.052688077,0.07982937,0.049530897,0.06911863,0.073815756,0.08021111,0.077048086,0.07704341,0.06607941,0.048398264,0.04381076,0.057314705,0.052523267,0.049539566,0.083738856
181,4,0.11486658,0.06743708,0.035015497,0.09672153,0.06142662,0.11486658,0.06170193,0.07036814,0.076426744,0.08025771,0.053464226,0.035839662,0.031164628,0.050600644,0.044492535,0.04923512,0.07098135
182,0,0.14856339,0.14856339,0.095467895,0.08933922,0.061635297,0.041258886,0.031180045,0.024006946,0.033408068,0.05218243,0.04158395,0.09271827,0.075476065,0.06843472,0.022454184,0.02852046,0.093770124
183,0,0.14954685,0.14954685,0.08240337,0.07453359,0.046868764,0.030595442,0.062598065,0.04602211,0.0517444,0.0555639,0.055201504,0.07937936,0.082180955,0.05756057,0.021913717,0.024610657,0.07927674
184,0,0.10156464,0.10156464,0.088906124,0.09224675,0.089690454,0.028732613,0.06401341,0.042053122,0.032657564,0.03554107,0.07209411,0.0772514,0.093962096,0.08905139,0.020416606,0.05083023,0.020988468
185,15,0.15805924,0.077061996,0.0071359565,0.100708276,0.10477244,0.059944093,0.018144257,0.020109365,0.046661377,0.08392761,0.065789916,0.026946805,0.023032535,0.09293834,0.046772715,0.0679951,0.15805924
186,0,0.1210217,0.1210217,0.048676025,0.09411061,0.10378792,0.044492975,0.02551938,0.020359825,0.027501702,0.06677449,0.056762133,0.06657359,0.050958246,0.065499745,0.048255827,0.06335012,0.0963557
187,15,0.10604044,0.07660353,0.054747514,0.09379754,0.06978615,0.055558547,0.075282805,0.060534757,0.07499422,0.051025975,0.04682224,0.049146887,-0.008621138,0.06438289,0.06697495,0.0629226,0.10604044
188,15,0.09903045,0.058852863,0.040246706,0.098872125,0.09238826,0.08129843,0.021805296,0.023027109,0.038658947,0.07979182,0.055041187,0.0860371,0.04554567,0.086298876,0.04435753,0.048747588,0.09903045
189,10,0.21498466,0.1633453,0.07296222,0.07535439,0.058891978,0.02945481,0.0049975445,-0.020559704,0.036519166,0.18545726,0.043599453,0.21498466,0.1284846,-0.0117208185,-0.029184764,-0.010305305,0.057719205
190,10,0.26127052,0.14334905,0.15075232,0.13918385,0.10889667,-0.029582832,-0.03705189,-0.06556728,-0.021655547,0.048017435,0.0021171563,0.26127052,0.17094038,0.055188578,-0.04374627,-0.00370153,0.12158943
191,10,0.10160573,0.09528554,0.07810995,0.08488829,0.0726767,0.069700435,0.039831117,0.01652585,0.03707774,0.06556923,0.064480476,0.10160573,0.079445206,0.076053,0.008126004,0.016270163,0.094354555
192,12,0.08950683,0.069912195,0.061359275,0.08379488,0.08023981,0.06664743,0.031008745,0.029840581,0.04108483,0.06651657,0.051210273,0.07775596,0.0619302,0.08950683,0.05062587,0.05665936,0.081907175
193,15,0.12603739,0.06913762,0.05168603,0.093065776,0.08142407,0.0660161,0.0376635,0.029928435,0.045847006,0.052122828,0.03814199,0.067584,0.047493048,0.07545629,0.057966586,0.060429327,0.12603739
194,3,0.10896673,0.08786472,0.054631136,0.10470138,0.10896673,0.031889867,0.0351906,0.03227732,0.042770524,0.07420694,0.06997177,0.050664764,0.03676327,0.09636347,0.05283014,0.067251004,0.053656314
195,9,0.09344317,0.08407558,0.06278942,0.08413733,0.08237191,0.036279738,0.051334456,0.04893697,0.045565974,0.08140436,0.09344317,0.06405277,0.05591471,0.084214754,0.03770071,0.047943786,0.039834443
196,15,0.15722631,0.06590424,0.020141808,0.108200826,0.087053426,0.13382797,-0.023547677,0.0050874474,0.056778274,0.052701045,-0.03594527,0.06847599,0.040913895,0.1177885,0.059540685,0.08585254,0.15722631
197,7,0.11440476,0.067520425,0.05577565,0.043210316,0.025675861,0.0424874,0.083606824,0.056240674,0.11440476,0.088280246,0.019348364,0.09271587,0.05014417,0.058922358,0.06456866,0.05710754,0.07999082
198,15,0.088212155,0.07457514,0.04690047,0.06709907,0.06286313,0.054622598,0.050680988,0.048798826,0.082029924,0.0628333,0.04068008,0.045281414,0.037969455,0.07425446,0.07918236,0.08401666,0.088212155
199,2,0.09471142,0.05799267,0.038924683,0.09471142,0.090959854,0.062216427,0.041300014,0.04702996,0.05064466,0.08335078,0.0832754,0.046352375,0.041083742,0.076624446,0.05549867,0.06894103,0.06109392
200,2,0.12232161,0.08707459,0.044391263,0.12232161,0.11249433,0.04515891,0.027265681,0.022162417,0.028631577,0.08312844,0.072584175,0.047690354,0.03841876,0.10810586,0.039983373,0.058211174,0.062377494
201,6,0.09620358,0.048478913,0.05439686,0.06698755,0.058569074,0.06783935,0.06686607,0.09620358,0.084088124,0.03513318,0.060339674,0.046751663,0.0433657,0.056386035,0.08029646,0.07574662,0.05855112
202,12,0.15907802,0.008611748,0.031868663,0.099386804,0.037495714,0.078545205,0.016443292,0.046686243,0.023659961,0.05224399,0.10582139,0.073019296,0.074744105,0.15907802,0.039254528,0.043198936,0.10994215
203,12,0.10573958,0.0931831,0.07030398,0.07679713,0.074936904,0.04374392,0.055339586,0.03131289,0.033135813,0.037300624,0.056179233,0.067942075,0.062657796,0.10573958,0.046416044,0.06483988,0.080171436
204,15,0.10174231,0.0494271,0.052458476,0.070457675,0.062144678,0.071210034,0.028001662,0.04440136,0.06825308,0.066912346,0.052205022,0.06851464,0.054483816,0.08921478,0.06083852,0.059734542,0.10174231
205,2,0.11650598,0.10700127,0.033145506,0.11650598,0.07624474,0.062651806,0.03454087,0.025706166,0.029864185,0.078792825,0.083704464,0.06026767,0.034841757,0.101266615,0.04047023,0.03415702,0.08083893
206,0,0.11765708,0.11765708,0.09956587,0.0998861,0.108825594,0.069240525,-0.004984647,-0.000837058,0.0066171656,0.049763642,0.028996646,0.11366723,0.09449727,0.09343673,0.031683285,0.04812799,0.043856625
207,12,0.10997256,0.06656191,0.048989523,0.096097626,0.09400703,0.059827607,0.021918373,0.027437733,0.033962794,0.08316593,0.06823331,0.07503493,0.05242613,0.10997256,0.040072042,0.05025571,0.0720368
208,12,0.106786095,0.06966822,0.047592632,0.08840427,0.09125099,0.061945003,0.015004647,0.006272936,0.034774087,0.06087589,0.050111268,0.09519056,0.08598486,0.106786095,0.03153601,0.054985,0.09961761
209,15,0.15570545,0.04915368,0.037092485,0.07212912,0.042625494,0.10957007,0.047282677,0.036696233,0.07245183,0.12117493,0.029794259,0.052438132,0.02117493,0.042866968,0.057138305,0.052705407,0.15570545
210,14,0.11791885,0.066255555,0.044606417,0.08868669,0.10775444,0.00030209598,0.07328433,0.08359539,0.081296764,0.010653958,0.03627577,0.021954756,0.022529554,0.079272486,0.11607855,0.11791885,0.049534425
211,4,0.15332419,0.041251287,0.05103959,0.0919665,0.062166587,0.15332419,0.06016472,0.07401129,0.0554191,0.023931678,0.045987166,0.05682159,0.04093689,0.06821184,0.07968483,0.0714854,0.02359738
212,12,0.103176534,0.06708597,0.048285056,0.09430944,0.09856767,0.0634221,0.030448552,0.03572288,0.039314434,0.066180065,0.06960461,0.058504246,0.043686744,0.103176534,0.058031254,0.06663642,0.05702403
213,2,0.12917623,0.043229062,-0.008085625,0.12917623,0.11746613,0.1282215,0.010115028,0.019848319,0.0032915103,0.09650783,0.08278365,0.03690499,0.03595116,0.12802394,0.067709744,0.089195,0.01966152
214,1,0.13173275,0.048402846,0.13173275,0.03874712,0.02414916,0.06221096,0.041628607,0.07150884,0.08152722,0.07746003,0.08350572,0.09418365,0.051816512,0.06681111,0.039870445,0.037493125,0.04895192
215,1,0.16540793,0.07362566,0.16540793,0.051334906,0.09179106,0.033263564,0.013678995,0.012527353,0.045762572,0.07628219,0.087079786,0.11337145,0.06464,0.08970707,0.031970125,0.046064083,0.003493247
216,1,0.110938415,0.05977813,0.110938415,0.07612167,0.07973808,0.031217197,0.05158148,0.054991778,0.05457249,0.056525797,0.049942475,0.070549496,0.051285066,0.08578028,0.0542619,0.06380719,0.0489086
217,12,0.113059536,0.06420117,0.07607325,0.068636894,0.07484978,0.04325996,0.030610893,0.033441827,0.059332162,0.030188762,0.03240879,0.061642896,0.05664221,0.113059536,0.07196856,0.07338266,0.11030066
